Camera_Name,URL,Latitude,Longitude
091-291_9-SB-IPV,,28.707438,-81.888657
091-292_9-SB-IPV,,28.718147,-81.899851
091-293_9-SB-IPV,,28.728346,-81.910613
091-294_9-SB-IPV,,28.739051,-81.92181
091-295_9-SB-IPV,,28.750118,-81.933615
091-296_9-SB-IPV,,28.760921,-81.945051
091-298_0-NB-IPV,,28.772052,-81.955847
091-299_2-SB-IPV,,28.778599,-81.968207
091-300_2-SB-IPV,,28.789099,-81.988735
091-300_3-NB-IPV,,28.791882,-81.988735
091-301_3-SB-IPV,,28.805647,-82.006587
091-302_3-SB-IPV,,28.818281,-82.01972
091-303_3-SB-IPV,,28.823319,-82.025127
091-304_2-NB-IPV,,28.82776,-82.028743
091-304_5-SB-T-IPV,,28.828611,-82.031896
091-304_8-NB-IPV,,28.83317,-82.036886
091-304_8-SB-IPV,,28.832117,-82.038259
091-305_7-SB-IPV,,28.837531,-82.04667
091-306_7-SB-IPV,,28.840688,-82.054481
091-307_2-SB-IPV,,28.843846,-82.066497
091-308_0-SB-IPV,,28.845857,-82.073085
091-308_5-SB-IPV,,28.85613,-82.08958
091-308_6-NB-IPV,,28.857792,-82.08904
091-308_9-SB-IPV,,28.86138753,-82.09217181
091-309_3-SB-IPV,,28.86712372,-82.09239963
408-001_0-WB-IPV,,28.542555,-81.519516
417-001_0-MD-IPV,,28.326491,-81.546942
417-002_1-MD-IPV,,28.327984,-81.530651
417-002_6-NB-IPV,,28.332286,-81.523216
417-003_4-SB-IPV,,28.342099,-81.51724
417-004_2-SB-IPV,,28.348224,-81.506402
417-005_1-MD-IPV,,28.351179,-81.491757
417-038_1-NB-IPV,,28.618393,-81.257623
417-038_2-SB-IPV,,28.619094,-81.25947
417-038_5-SB-IPV,,28.623855,-81.256792
417-039_2-NB-IPV,,28.626886,-81.248441
417-040_2-SB-IPV,,28.641996,-81.240833
417-040_6-NB-IPV,,28.647217,-81.236843
417-041_3-NB-IPV,,28.655856,-81.23065
417-041_3-SB-IPV,,28.656732,-81.233369
417-041_6-NB-IPV,,28.660484,-81.230059
417-042_2-SB-IPV,,28.668221,-81.227665
417-042_9-NB-IPV,,28.677726,-81.225645
417-043_3-SB-IPV,,28.684144,-81.226714
417-043_7-NB-IPV,,28.689448,-81.227389
417-044_5-NB-IPV,,28.701044,-81.232813
417-046_0-NB-IPV,,28.720922,-81.243672
417-047_0-SB-IPV,,28.733281,-81.251814
417-047_9-NB-IPV,,28.744391,-81.26052
417-048_4-SB-IPV,,28.750216,-81.266811
417-048_9-SB-IPV,,28.757034,-81.269683
417-049_2-NB-IPV,,28.760816,-81.270068
417-049_9-NB-IPV,,28.76998,-81.275789
417-050_2-NB-IPV,,28.771509,-81.280353
417-051_0-SB-IPV,,28.77429,-81.293357
417-051_5-SB-IPV,,28.778842,-81.298642
417-052_0-SB-IPV,,28.786182,-81.301636
417-052_9-NB-IPV,,28.798146,-81.304707
417-053_5-SB-IPV,,28.799558,-81.315477
417-054_5-NB-IPV,,28.798589,-81.331174
417-055_0-SB-IPV,,28.796468,-81.338282
429-000_7-SB-IPV,,28.284813,-81.595093
429-001_6-SB-IPV,,28.295096,-81.602606
429-002_1-SB-IPV,,28.301217,-81.607207
429-002_5-NB-IPV,,28.308128,-81.607182
429-003_6-NB-IPV,,28.320286,-81.609918
429-004_1-SB-IPV,,28.326781,-81.614971
429-004_5-SB-IPV,,28.333001,-81.615539
429-005_4-SB-IPV,,28.344065,-81.616444
429-006_2-SB-IPV,,28.356214,-81.613367
429-006_6-NB-IPV,,28.36273,-81.610261
